shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
2811111,47.17277319,-1.47244781,22301
2811111,47.17308726,-1.47656452,22302
2811111,47.17308726,-1.47656452,22311
2811111,47.17325259,-1.48516132,22312
2811111,47.17325259,-1.48516132,22321
2811111,47.17487456,-1.49056037,22322
2811111,47.17487456,-1.49056037,22331
2811111,47.17534576,-1.49534905,22332
2811111,47.17534576,-1.49534905,22341
2811111,47.17665379,-1.50204702,22342
2811111,47.17665379,-1.50204702,22351
2811111,47.18016469,-1.49939264,22352
2811111,47.18016469,-1.49939264,22361
2811111,47.18112627,-1.50567017,22362
2811111,47.18112627,-1.50567017,22371
2811111,47.18053688,-1.50443900,22372
2811111,47.18053688,-1.50443900,22381
2811111,47.17998499,-1.49937977,22382
2811111,47.17998499,-1.49937977,22391
2811111,47.18458718,-1.49640687,22392
2811111,47.18458718,-1.49640687,22401
2811111,47.18656173,-1.49390603,22402
2811111,47.18656173,-1.49390603,22411
2811111,47.19035074,-1.49642323,22412
2811111,47.19035074,-1.49642323,22421
2811111,47.19246766,-1.49776396,22422
2811111,47.19246766,-1.49776396,22431
2811111,47.19395122,-1.49919154,22432
2811111,47.19395122,-1.49919154,22441
2811111,47.19602617,-1.50449351,22442
2811111,47.19602617,-1.50449351,22451
2811111,47.19491281,-1.50547068,22452
2811111,47.19491281,-1.50547068,22461
2811111,47.19393516,-1.50777884,22462
2811111,47.19393516,-1.50777884,22471
2811111,47.19545563,-1.51079501,22472
2811111,47.19545563,-1.51079501,22481
2811111,47.19880996,-1.51552901,22482
2811111,47.19880996,-1.51552901,22491
2811111,47.19964834,-1.52008230,22492
2811111,47.19964834,-1.52008230,22501
2811111,47.19916680,-1.52639054,22502
2811111,47.19916680,-1.52639054,22511
2811111,47.19948912,-1.53288896,22512
2811111,47.19948912,-1.53288896,22521
2811111,47.19725099,-1.54052347,22522
2811111,47.19725099,-1.54052347,22531
2811111,47.19609738,-1.54268626,22532
331056,47.18451386,-1.56298460,22551
331056,47.18233969,-1.56335465,22552
331056,47.18233969,-1.56335465,22561
331056,47.17952322,-1.56407418,22562
331056,47.17952322,-1.56407418,22571
331056,47.17661629,-1.56214520,22572
331056,47.17661629,-1.56214520,22581
331056,47.17436501,-1.55947162,22582
331056,47.17436501,-1.55947162,22591
331056,47.17236984,-1.55721314,22592
331056,47.17236984,-1.55721314,22601
331056,47.17078005,-1.55894662,22602
331056,47.17078005,-1.55894662,22611
331056,47.16808464,-1.55875054,22612
331056,47.16808464,-1.55875054,22621
331056,47.16669088,-1.55468713,22622
331056,47.16669088,-1.55468713,22631
331056,47.16649613,-1.54978652,22632
331056,47.16649613,-1.54978652,22641
331056,47.16575765,-1.54497861,22642
331056,47.16575765,-1.54497861,22651
331056,47.16511879,-1.54255518,22652
331056,47.16511879,-1.54255518,22661
331056,47.16354476,-1.53847942,22662
331056,47.16354476,-1.53847942,22671
331056,47.16373212,-1.53558769,22672
331157,47.16804829,-1.52507017,22691
331157,47.16658699,-1.53103977,22692
331157,47.16658699,-1.53103977,22701
331157,47.16470273,-1.53618611,22702
331157,47.16470273,-1.53618611,22711
331157,47.16521640,-1.53965688,22712
331157,47.16521640,-1.53965688,22721
331157,47.16530292,-1.54243645,22722
331157,47.16530292,-1.54243645,22731
331157,47.16582084,-1.54577558,22732
331157,47.16582084,-1.54577558,22741
331157,47.16658153,-1.54992478,22742
331157,47.16658153,-1.54992478,22751
331157,47.16692925,-1.55562893,22752
331157,47.16692925,-1.55562893,22761
331157,47.16817448,-1.55875707,22762
331157,47.16817448,-1.55875707,22771
331157,47.17135033,-1.55806356,22772
331157,47.17135033,-1.55806356,22781
331157,47.17254507,-1.55735797,22782
331157,47.17254507,-1.55735797,22791
331157,47.17471102,-1.55989306,22792
331157,47.17471102,-1.55989306,22801
331157,47.17776199,-1.56288910,22802
331157,47.17776199,-1.56288910,22811
331157,47.17996352,-1.56437046,22812
331157,47.17996352,-1.56437046,22821
331157,47.18206569,-1.56346680,22822
331157,47.18206569,-1.56346680,22831
331157,47.18379509,-1.56293224,22832
331058,47.18451386,-1.56298460,22851
331058,47.18233969,-1.56335465,22852
331058,47.18233969,-1.56335465,22861
331058,47.17952322,-1.56407418,22862
331058,47.17952322,-1.56407418,22871
331058,47.17661629,-1.56214520,22872
331058,47.17661629,-1.56214520,22881
331058,47.17436501,-1.55947162,22882
331058,47.17436501,-1.55947162,22891
331058,47.17236984,-1.55721314,22892
331058,47.17236984,-1.55721314,22901
331058,47.17078005,-1.55894662,22902
331058,47.17078005,-1.55894662,22911
331058,47.16808464,-1.55875054,22912
331058,47.16808464,-1.55875054,22921
331058,47.16669088,-1.55468713,22922
331058,47.16669088,-1.55468713,22931
331058,47.16649613,-1.54978652,22932
331058,47.16649613,-1.54978652,22941
331058,47.16575765,-1.54497861,22942
331058,47.16575765,-1.54497861,22951
331058,47.16511879,-1.54255518,22952
331058,47.16511879,-1.54255518,22961
331058,47.16354476,-1.53847942,22962
331058,47.16354476,-1.53847942,22971
331058,47.16373212,-1.53558769,22972
331058,47.16373212,-1.53558769,22981
331058,47.16678439,-1.53052577,22982
331058,47.16678439,-1.53052577,22991
331058,47.16804829,-1.52507017,22992
331159,47.16364228,-1.53558119,23011
331159,47.16470273,-1.53618611,23012
331159,47.16470273,-1.53618611,23021
331159,47.16521640,-1.53965688,23022
331159,47.16521640,-1.53965688,23031
331159,47.16530292,-1.54243645,23032
331159,47.16530292,-1.54243645,23041
331159,47.16582084,-1.54577558,23042
331159,47.16582084,-1.54577558,23051
331159,47.16658153,-1.54992478,23052
331159,47.16658153,-1.54992478,23061
331159,47.16692925,-1.55562893,23062
331159,47.16692925,-1.55562893,23071
331159,47.16817448,-1.55875707,23072
331159,47.16817448,-1.55875707,23081
331159,47.17135033,-1.55806356,23082
331159,47.17135033,-1.55806356,23091
331159,47.17254507,-1.55735797,23092
331159,47.17254507,-1.55735797,23101
331159,47.17471102,-1.55989306,23102
331159,47.17471102,-1.55989306,23111
331159,47.17776199,-1.56288910,23112
331159,47.17776199,-1.56288910,23121
331159,47.17996352,-1.56437046,23122
331159,47.17996352,-1.56437046,23131
331159,47.18206569,-1.56346680,23132
331159,47.18206569,-1.56346680,23141
331159,47.18379509,-1.56293224,23142
401131,47.20796405,-1.61227545,23161
401131,47.20619828,-1.61386335,23162
401131,47.20619828,-1.61386335,23171
401131,47.20301761,-1.61468583,23172
401131,47.20301761,-1.61468583,23181
401131,47.19812540,-1.61551398,23182
401131,47.19812540,-1.61551398,23191
401131,47.17591416,-1.59339984,23192
401032,47.17591416,-1.59339984,23211
401032,47.19812540,-1.61551398,23212
401032,47.19812540,-1.61551398,23221
401032,47.20374088,-1.61460707,23222
401032,47.20374088,-1.61460707,23231
401032,47.20648589,-1.61335590,23232
401032,47.20648589,-1.61335590,23241
401032,47.20888055,-1.61181439,23242
421181,47.16885458,-1.47111255,23261
421181,47.16941272,-1.46785057,23262
421181,47.16941272,-1.46785057,23271
421181,47.17186919,-1.46710059,23272
421181,47.17186919,-1.46710059,23281
421181,47.17553725,-1.46511578,23282
421181,47.17553725,-1.46511578,23291
421181,47.17835436,-1.46980683,23292
421181,47.17835436,-1.46980683,23301
421181,47.18204264,-1.46993696,23302
421181,47.18204264,-1.46993696,23311
421181,47.18410051,-1.47034749,23312
421181,47.18410051,-1.47034749,23321
421181,47.18364959,-1.47308957,23322
421181,47.18364959,-1.47308957,23331
421181,47.18480285,-1.47634217,23332
421181,47.18480285,-1.47634217,23341
421181,47.18587233,-1.47668256,23342
421181,47.18587233,-1.47668256,23351
421181,47.18707351,-1.47848557,23352
421181,47.18707351,-1.47848557,23361
421181,47.18758260,-1.48486326,23362
421181,47.18758260,-1.48486326,23371
421181,47.18787872,-1.48950839,23372
421181,47.18787872,-1.48950839,23381
421181,47.18828419,-1.49627525,23382
421181,47.18828419,-1.49627525,23391
421181,47.18859741,-1.50039329,23392
421181,47.18859741,-1.50039329,23401
421181,47.18888850,-1.50517039,23402
421181,47.18888850,-1.50517039,23411
421181,47.18912476,-1.50888667,23412
421181,47.18912476,-1.50888667,23421
421181,47.18967793,-1.51658939,23422
421181,47.18967793,-1.51658939,23431
421181,47.18642894,-1.52216850,23432
421181,47.18642894,-1.52216850,23441
421181,47.18490744,-1.52456891,23442
421181,47.18490744,-1.52456891,23451
421181,47.18667934,-1.52813168,23452
421181,47.18667934,-1.52813168,23461
421181,47.18855867,-1.53117399,23462
421181,47.18855867,-1.53117399,23471
421181,47.19011839,-1.53300429,23472
421181,47.19011839,-1.53300429,23481
421181,47.19221273,-1.53500550,23482
421181,47.19221273,-1.53500550,23491
421181,47.19616724,-1.53793433,23492
421181,47.19616724,-1.53793433,23501
421181,47.19590881,-1.54293687,23502
421093,47.19590881,-1.54293687,23521
421093,47.19401533,-1.53764642,23522
421093,47.19401533,-1.53764642,23531
421093,47.19159708,-1.53456459,23532
421093,47.19159708,-1.53456459,23541
421093,47.19011839,-1.53300429,23542
421093,47.19011839,-1.53300429,23551
421093,47.18804171,-1.53047604,23552
421093,47.18804171,-1.53047604,23561
421093,47.18616678,-1.52730200,23562
421093,47.18616678,-1.52730200,23571
421093,47.18519466,-1.52406118,23572
421093,47.18519466,-1.52406118,23581
421093,47.18634350,-1.52203023,23582
421093,47.18634350,-1.52203023,23591
421093,47.18955722,-1.51750555,23592
421093,47.18955722,-1.51750555,23601
421093,47.18911155,-1.50928208,23602
421093,47.18911155,-1.50928208,23611
421093,47.18866730,-1.50370123,23612
421093,47.18866730,-1.50370123,23621
421093,47.18850756,-1.50038685,23622
421093,47.18850756,-1.50038685,23631
421093,47.18808041,-1.49427894,23632
421093,47.18808041,-1.49427894,23641
421093,47.18767482,-1.48751211,23642
421093,47.18767482,-1.48751211,23651
421093,47.18742039,-1.48432323,23652
421093,47.18742039,-1.48432323,23661
421093,47.18707788,-1.47835377,23662
421093,47.18707788,-1.47835377,23671
421093,47.18569263,-1.47666976,23672
421093,47.18569263,-1.47666976,23681
421093,47.18401164,-1.47575740,23682
421093,47.18401164,-1.47575740,23691
421093,47.18357282,-1.47268780,23692
421093,47.18357282,-1.47268780,23701
421093,47.18383096,-1.47032832,23702
421093,47.18383096,-1.47032832,23711
421093,47.18139625,-1.47041939,23712
421093,47.18139625,-1.47041939,23721
421093,47.17836743,-1.46941149,23722
421093,47.17836743,-1.46941149,23731
421093,47.17553725,-1.46511578,23732
421093,47.17553725,-1.46511578,23741
421093,47.17100393,-1.46875604,23742
421093,47.17100393,-1.46875604,23751
421093,47.16920963,-1.47126986,23752
471057,47.16920963,-1.47126986,24031
471057,47.16720837,-1.46914664,24032
471057,47.16720837,-1.46914664,24041
471057,47.16559974,-1.46876821,24042
471057,47.16559974,-1.46876821,24051
471057,47.16495172,-1.47202356,24052
471057,47.16495172,-1.47202356,24061
471057,47.16048962,-1.47078194,24062
471057,47.16048962,-1.47078194,24071
471057,47.15724784,-1.46804280,24072
471057,47.15724784,-1.46804280,24081
471057,47.15447112,-1.46758151,24082
471057,47.15447112,-1.46758151,24091
471057,47.14923355,-1.46800167,24092
471057,47.14923355,-1.46800167,24101
471057,47.14843797,-1.45936421,24102
471057,47.14843797,-1.45936421,24111
471057,47.14054089,-1.45576884,24112
471057,47.14054089,-1.45576884,24121
471057,47.13867871,-1.45761689,24122
471057,47.13867871,-1.45761689,24131
471057,47.13621221,-1.46140176,24132
471057,47.13621221,-1.46140176,24141
471057,47.13722374,-1.46622500,24142
471057,47.13722374,-1.46622500,24151
471057,47.13776565,-1.46890324,24152
471057,47.13776565,-1.46890324,24161
471057,47.13758868,-1.47153044,24162
471061,47.16920963,-1.47126986,24691
471061,47.16720837,-1.46914664,24692
471061,47.16720837,-1.46914664,24701
471061,47.16559974,-1.46876821,24702
471061,47.16559974,-1.46876821,24711
471061,47.16495172,-1.47202356,24712
471061,47.16495172,-1.47202356,24721
471061,47.16048962,-1.47078194,24722
471061,47.16048962,-1.47078194,24731
471061,47.15724784,-1.46804280,24732
471061,47.15724784,-1.46804280,24741
471061,47.15447112,-1.46758151,24742
471061,47.15447112,-1.46758151,24751
471061,47.14866831,-1.46875363,24752
471061,47.14866831,-1.46875363,24761
471061,47.13776565,-1.46890324,24762
471061,47.13776565,-1.46890324,24771
471061,47.13758868,-1.47153044,24772
471163,47.13758868,-1.47153044,24281
471163,47.13760772,-1.46823208,24282
471163,47.13760772,-1.46823208,24291
471163,47.13713824,-1.46608695,24292
471163,47.13713824,-1.46608695,24301
471163,47.13620786,-1.46153344,24302
471163,47.13620786,-1.46153344,24311
471163,47.13877290,-1.45749157,24312
471163,47.13877290,-1.45749157,24321
471163,47.14072927,-1.45551818,24322
471163,47.14072927,-1.45551818,24331
471163,47.14915680,-1.45941515,24332
471163,47.14915680,-1.45941515,24341
471163,47.14966104,-1.46869213,24342
471163,47.14966104,-1.46869213,24351
471163,47.15464647,-1.46772599,24352
471163,47.15464647,-1.46772599,24361
471163,47.15796666,-1.46809386,24362
471163,47.15796666,-1.46809386,24371
471163,47.16084032,-1.47107096,24372
471163,47.16084032,-1.47107096,24381
471163,47.16485751,-1.47214892,24382
471163,47.16485751,-1.47214892,24391
471163,47.16589542,-1.46799687,24392
471163,47.16589542,-1.46799687,24401
471163,47.16738808,-1.46915941,24402
471163,47.16738808,-1.46915941,24411
471163,47.16920963,-1.47126986,24412
471164,47.13758868,-1.47153044,24181
471164,47.13760772,-1.46823208,24182
471164,47.13760772,-1.46823208,24191
471164,47.14966104,-1.46869213,24192
471164,47.14966104,-1.46869213,24201
471164,47.15464647,-1.46772599,24202
471164,47.15464647,-1.46772599,24211
471164,47.15796666,-1.46809386,24212
471164,47.15796666,-1.46809386,24221
471164,47.16084032,-1.47107096,24222
471164,47.16084032,-1.47107096,24231
471164,47.16485751,-1.47214892,24232
471164,47.16485751,-1.47214892,24241
471164,47.16589542,-1.46799687,24242
471164,47.16589542,-1.46799687,24251
471164,47.16738808,-1.46915941,24252
471164,47.16738808,-1.46915941,24261
471164,47.16920963,-1.47126986,24262
471072,47.16920963,-1.47126986,23771
471072,47.16720837,-1.46914664,23772
471072,47.16720837,-1.46914664,23781
471072,47.16559974,-1.46876821,23782
471072,47.16559974,-1.46876821,23791
471072,47.16495172,-1.47202356,23792
471072,47.16495172,-1.47202356,23801
